count,Forwarder-time,Forwarder-average_time,Replica-1-time,Replica-1-average_time,Replica-2-time,Replica-2-average_time,Buffer-time,Buffer_average_time
4016775,0.182632693009,4.54674939495e-08,1.70547591901,4.24588362308e-07,1.84916286699,4.60360081656e-07,6.245869923,1.55539366847e-06
4016885,0.182891378009,4.55306482533e-08,1.74064285801,4.33331513849e-07,1.81892521899,4.52819839003e-07,6.235791747,1.55239488982e-06
4016885,0.182871087009,4.55255968266e-08,1.72459441001,4.29336266786e-07,1.84882831399,4.60264188294e-07,6.266780284,1.56010945895e-06
4017216,0.182766461009,4.54958013233e-08,1.73253266301,4.3127694976e-07,1.92633480199,4.79519847076e-07,6.25300492,1.55655183092e-06
4017051,0.182681999009,4.54766441872e-08,1.67343972701,4.16584137719e-07,1.88434502199,4.69086656353e-07,6.357965682,1.58300151006e-06
4017712,0.183633945009,4.5706099643e-08,1.68036191701,4.1823851909e-07,1.86120119199,4.63249031287e-07,6.265187405,1.55964535373e-06
4016830,0.182584963009,4.54549888865e-08,1.67632225601,4.17324670451e-07,1.82562826699,4.54494779962e-07,6.249848709,1.55617096707e-06
4016775,0.184575633008,4.59512004054e-08,1.72956634401,4.30585816733e-07,1.88676784199,4.69722063593e-07,6.263450935,1.55958151918e-06
4016499,0.182894608009,4.55358280953e-08,1.68943968401,4.20624948247e-07,1.87360723999,4.6647770608e-07,6.239801464,1.55379810241e-06
4016554,0.210564796001,5.24242412778e-08,1.68616214901,4.19803181784e-07,1.87821181599,4.67617718072e-07,6.232275123,1.55164728845e-06